featureCount,batchTime,totalTime,memoryUsage
1,0.001489877700805664,0.001489877700805664,3.7
101,0.010601997375488281,0.009112119674682617,3.7
201,0.01928877830505371,0.00868678092956543,3.7
301,0.028291940689086914,0.009003162384033203,3.7
401,0.0372164249420166,0.008924484252929688,3.7
501,0.0460057258605957,0.008789300918579102,3.7
601,0.05470585823059082,0.008700132369995117,3.7
701,0.06372404098510742,0.009018182754516602,3.7
801,0.07276177406311035,0.00903773307800293,3.7
901,0.0819542407989502,0.009192466735839844,3.7
1001,0.09080624580383301,0.008852005004882812,3.7
1101,0.09972190856933594,0.00891566276550293,3.7
1201,0.10870647430419922,0.008984565734863281,3.7
1301,0.11723709106445312,0.008530616760253906,3.7
1401,0.12576770782470703,0.008530616760253906,3.7
1501,0.13442492485046387,0.008657217025756836,3.7
1601,0.14316725730895996,0.008742332458496094,3.7
1701,0.15173029899597168,0.008563041687011719,3.7
1801,0.16068100929260254,0.00895071029663086,3.7
1901,0.1700434684753418,0.009362459182739258,3.7
2001,0.1794147491455078,0.009371280670166016,3.7
2101,0.18838024139404297,0.008965492248535156,3.7
2201,0.1972203254699707,0.008840084075927734,3.7
2301,0.20668244361877441,0.009462118148803711,3.7
2401,0.21588921546936035,0.009206771850585938,3.7
2501,0.22533798217773438,0.009448766708374023,3.7
2601,0.23453950881958008,0.009201526641845703,3.7
2701,0.24376320838928223,0.009223699569702148,3.7
2801,0.25273895263671875,0.008975744247436523,3.7
2901,0.26214027404785156,0.009401321411132812,3.7
3001,0.2714080810546875,0.009267807006835938,3.7
3101,0.2809445858001709,0.009536504745483398,3.7
3201,0.29032325744628906,0.009378671646118164,3.7
3301,0.2993812561035156,0.009057998657226562,3.7
3401,0.30843138694763184,0.009050130844116211,3.7
3501,0.31700873374938965,0.008577346801757812,3.7
3601,0.32578158378601074,0.008772850036621094,3.7
3701,0.33447813987731934,0.008696556091308594,3.7
3801,0.34323596954345703,0.008757829666137695,3.7
3901,0.3518085479736328,0.008572578430175781,3.7
4001,0.36034655570983887,0.008538007736206055,3.7
4101,0.36953067779541016,0.009184122085571289,3.7
4201,0.3782217502593994,0.008691072463989258,3.7
4301,0.3872377872467041,0.009016036987304688,3.7
4401,0.3958461284637451,0.008608341217041016,3.7
4501,0.40507006645202637,0.00922393798828125,3.7
4601,0.4137411117553711,0.008671045303344727,3.7
4701,0.4224576950073242,0.008716583251953125,3.7
4801,0.43117737770080566,0.008719682693481445,3.7
4901,0.4400498867034912,0.008872509002685547,3.7
5001,0.4487278461456299,0.008677959442138672,3.7
5101,0.4575192928314209,0.008791446685791016,3.7
5201,0.46677398681640625,0.009254693984985352,3.7
5301,0.47554802894592285,0.008774042129516602,3.7
5401,0.4844677448272705,0.008919715881347656,3.7
5501,0.49317145347595215,0.00870370864868164,3.7
5601,0.5021865367889404,0.009015083312988281,3.7
5701,0.5109672546386719,0.008780717849731445,3.7
5801,0.5196168422698975,0.008649587631225586,3.7
5901,0.5283908843994141,0.008774042129516602,3.7
6001,0.5373804569244385,0.008989572525024414,3.7
6101,0.546046257019043,0.008665800094604492,3.7
6201,0.5546767711639404,0.008630514144897461,3.7
6301,0.563507080078125,0.00883030891418457,3.7
6401,0.5725076198577881,0.009000539779663086,3.7
6501,0.5814914703369141,0.008983850479125977,3.7
6601,0.5901539325714111,0.00866246223449707,3.7
6701,0.5988204479217529,0.008666515350341797,3.7
6801,0.6078677177429199,0.009047269821166992,3.7
6901,0.6165018081665039,0.008634090423583984,3.7
7001,0.6251726150512695,0.008670806884765625,3.7
7101,0.6338121891021729,0.00863957405090332,3.7
7201,0.6426548957824707,0.008842706680297852,3.7
7301,0.651308536529541,0.008653640747070312,3.7
7401,0.6599733829498291,0.008664846420288086,3.7
7501,0.6691818237304688,0.009208440780639648,3.7
7601,0.6780095100402832,0.008827686309814453,3.7
7701,0.686892032623291,0.008882522583007812,3.7
7801,0.6955327987670898,0.008640766143798828,3.7
7901,0.7047445774078369,0.00921177864074707,3.7
8001,0.7133774757385254,0.008632898330688477,3.7
8101,0.7220001220703125,0.00862264633178711,3.7
8201,0.730623722076416,0.008623600006103516,3.7
8301,0.739518404006958,0.008894681930541992,3.7
8401,0.7481820583343506,0.008663654327392578,3.7
8501,0.7568340301513672,0.008651971817016602,3.7
8601,0.7658782005310059,0.009044170379638672,3.7
8701,0.7752444744110107,0.009366273880004883,3.7
8801,0.7843117713928223,0.009067296981811523,3.7
8901,0.7934162616729736,0.009104490280151367,3.7
9001,0.8025736808776855,0.009157419204711914,3.7
9101,0.8114871978759766,0.008913516998291016,3.7
9201,0.8202669620513916,0.008779764175415039,3.7
9301,0.8292901515960693,0.009023189544677734,3.7
9401,0.8381946086883545,0.008904457092285156,3.7
9501,0.8469703197479248,0.008775711059570312,3.7
9601,0.8554797172546387,0.008509397506713867,3.7
9701,0.8643307685852051,0.008851051330566406,3.7
9801,0.873152494430542,0.008821725845336914,3.7
9901,0.8819570541381836,0.008804559707641602,3.7
10001,0.8905823230743408,0.008625268936157227,3.7
10101,0.8991878032684326,0.008605480194091797,3.7
10201,0.908240556716919,0.009052753448486328,3.7
10301,0.9169065952301025,0.008666038513183594,3.7
10401,0.9255688190460205,0.008662223815917969,3.7
10501,0.9343793392181396,0.00881052017211914,3.7
10601,0.9430763721466064,0.008697032928466797,3.7
